analog_year,month,month_name,WTEQ,distance,snow_inches
2006,11,Nov,0.8,0.323902002069213,77.0
2006,12,Dec,14.9,0.323902002069213,60.0
2006,1,Jan,16.2,0.323902002069213,90.0
2006,2,Feb,37.9,0.323902002069213,57.0
2006,3,Mar,50.9,0.323902002069213,81.0
2006,4,Apr,61.1,0.323902002069213,88.0
2021,11,Nov,0.0,0.4993111157162212,0.1699999999999989
2021,12,Dec,0.2,0.4993111157162212,36.80000000000001
2021,1,Jan,19.6,0.4993111157162212,102.8
2021,2,Feb,24.6,0.4993111157162212,131.7
2021,3,Mar,52.5,0.4993111157162212,31.00000000000003
2021,4,Apr,67.8,0.4993111157162212,0.0
1985,11,Nov,,0.5815436593909161,70.0
1985,12,Dec,,0.5815436593909161,31.0
1985,1,Jan,,0.5815436593909161,3.0
1985,2,Feb,,0.5815436593909161,90.0
1985,3,Mar,,0.5815436593909161,60.0
1985,4,Apr,,0.5815436593909161,16.0
1996,11,Nov,2.2,0.5826421529573517,90.0
1996,12,Dec,10.4,0.5826421529573517,182.0
1996,1,Jan,4.3,0.5826421529573517,126.0
1996,2,Feb,14.8,0.5826421529573517,40.0
1996,3,Mar,20.0,0.5826421529573517,23.0
1996,4,Apr,22.1,0.5826421529573517,7.0
1955,11,Nov,,0.6139092835287456,125.0
1955,12,Dec,,0.6139092835287456,175.0
1955,1,Jan,,0.6139092835287456,82.0
1955,2,Feb,,0.6139092835287456,111.0
1955,3,Mar,,0.6139092835287456,221.0
1955,4,Apr,,0.6139092835287456,97.0
2017,11,Nov,0.0,0.6588489293731236,0.1999999999999886
2017,12,Dec,8.1,0.6588489293731236,0.42999999999999966
2017,1,Jan,30.4,0.6588489293731236,59.87
2017,2,Feb,35.1,0.6588489293731236,5.100000000000023
2017,3,Mar,48.8,0.6588489293731236,0.0
2017,4,Apr,62.2,0.6588489293731236,0.2000000000000454
2023,11,Nov,0.0,0.664368565088519,19.490000000000002
2023,12,Dec,2.8,0.664368565088519,58.03999999999999
2023,1,Jan,21.7,0.664368565088519,37.6
2023,2,Feb,26.2,0.664368565088519,38.14000000000001
2023,3,Mar,39.9,0.664368565088519,64.80000000000001
2023,4,Apr,50.9,0.664368565088519,63.019999999999996
