feature,rf,gbr,ridge_abs,combined
np_lag0,0.06873321103382136,0.16536785013824112,8.407227042546115,0.06700869943903943
hgt500_gradient_lag2,0.02903822747399264,0.03272491832246667,-10.473515309943565,0.03809796014964889
z500_nepac_anom_lag0,0.014717618464349947,0.037083434360329806,-11.031432964333437,0.0364449157559275
hgt500_gradient_lag3,0.03312690478000168,0.05371838703972497,-6.474388944368135,0.03167052108722136
pna_lag0,0.03274631200415577,0.01878574870080539,-7.27337058104733,0.030567265130488325
slp_nepac_anom_lag0,0.04833009017134152,0.020198273141343565,4.077802975154714,0.02656267900586546
hgt500_gradient_lag1,0.017303650422281696,0.03384108452832925,-6.959051102100775,0.02639736118396099
ao_lag0,0.01777081838074499,0.03884360450762195,-6.034337096265395,0.023648528197039616
z500_nepac_anom_lag2,0.010624750051516953,0.016239784987655572,6.195881905682518,0.021137527153748052
np_x_pna_lag1,0.01792282535267789,0.02275604917377909,-4.729232421390741,0.019812741067713937
pdo_lag0,0.024112120467679122,0.0289777498554539,-2.4875224856365845,0.019177711285377933
buoy_storm_days_lag0,0.005911366030692129,0.002360119142608384,-0.6298716121120919,0.017090960881310412
np_x_pna_lag0,0.022056702981858512,0.0027670662919670793,-4.8951258569305685,0.017077485308262422
hgt500_gradient_lag0,0.010067432312444988,0.02219234530500521,3.0725885158453967,0.015402827861295284
nino4_anom_lag1,0.014449593001366433,0.029704991443832027,-1.9997415767956492,0.015063345285180682
z500_nepac_anom_lag3,0.017844500082441837,0.024565180013117253,-2.411670699089496,0.014661665143263383
pmm_lag0,0.008261792268169926,0.007902042066417578,-4.054941974773997,0.014157709808497407
syn_slp_gradient_lag0,0.0030939316104305076,0.018258624231275847,-1.75611563624768,0.014090171512696755
nino4_anom_lag2,0.015289441061922425,0.005317074923566196,-2.6937077424582467,0.014073923551678363
np_lag3,0.007824365148567736,0.009143734003323023,-4.194900822109088,0.013967319201989908
roni_lag0,0.0066316535519830005,0.0023920531096274654,4.177267757812508,0.013462732222457249
ao_lag1,0.011024461884913577,0.010130616291420383,-3.9348800744722996,0.012899077473059628
epo_lag0,0.02425629325601591,0.0269149430633514,-0.8803664579250379,0.012746725273072542
epo_lag2,0.01058826794590883,0.01703194057916754,-2.260106500767209,0.012638734584471565
np_lag1,0.01368850833262272,0.0036540938008468907,3.2156406309216146,0.01179015787206103
buoy_storm_days_lag2,0.00852572891098181,0.007339608734143142,1.5441433574586019,0.011660086060287924
solar_lag2,0.007459649779506244,0.00897447830466623,2.8584987421091412,0.01145524842780005
epo_lag1,0.016028550228075845,0.029109138710422384,-1.0167079425395065,0.011280694780407913
buoy_wspd_lag2,0.007908359426388704,0.0033168434356590044,0.8433426855306085,0.010641430844773177
pmm_lag1,0.006842643260458747,0.0028568848920840265,2.639729297600132,0.010500152004027827
pna_lag2,0.00748569736121219,0.0008793825773673741,-3.1542922298783984,0.00986979387549233
buoy_storm_days_lag3,0.009302318969135257,0.015648098413388444,0.5688664841086606,0.009809215617688943
nino4_anom_lag3,0.0201204589345591,0.014131209798323743,-1.2644797704007644,0.009508934599064748
amo_lag1,0.00678947373475146,0.002179563415285648,-2.8923230152013075,0.009465200286521622
nino12_anom_lag0,0.00902378466509751,0.00618467429319949,-2.157723091954169,0.009428494651314808
ao_lag3,0.008425648544471412,0.007873173309245262,2.3747113008665997,0.009129642597793934
slp_nepac_anom_lag2,0.011515087276877847,0.016504352376980405,-0.6910494745488097,0.009128505684611196
amo_lag3,0.0061292983856176975,0.0022354770224564994,2.5610261358713187,0.00901543428299834
pna_lag3,0.006409655943950006,0.004826606830918357,-2.868565006291776,0.008999668774696936
buoy_wspd_lag0,0.0069884393761141346,0.012894585859693325,0.922010145181843,0.008912753847047258
buoy_wvht_lag3,0.0029041489724427774,0.007765112074502268,-1.5213645081430323,0.008686100015052765
qbo_lag0,0.008578031360246447,0.0097036302549618,1.245884241894727,0.00823388856692132
slp_nepac_anom_lag1,0.01559763484746276,0.006028623221810481,-0.7222804546041985,0.008119917712523569
solar_lag3,0.00892723823812441,0.01939760925295416,0.736276544953113,0.007915210269678377
epo_lag3,0.00958918389665531,0.01026281927633358,1.373186332553976,0.007878545204008991
tni_lag2,0.008790640396389611,0.006113634251423674,1.6300274477006045,0.007775892136611949
roni_lag3,0.006618326506262776,0.003365628751690779,1.8745781335139096,0.007749986297928455
tni_lag1,0.007115696467435387,0.0038363947787734332,1.7741282286330764,0.0071537032458203285
buoy_storm_days_lag1,0.004419803309539967,0.0028335588487505992,-0.1228343818589729,0.007094083004129099
pdo_lag1,0.011553149045897715,0.0029477060987885746,1.3232548065697414,0.00709067739118901
nino4_anom_lag0,0.012383020906842065,0.005634190712601388,-1.051171869087512,0.00696632449101052
slp_nepac_anom_lag3,0.007516520617294228,0.0026568208973155876,1.6379959111826663,0.006911771678649182
buoy_wspd_lag1,0.00478384965967647,0.0015903568780794746,-0.9428755656905705,0.006808375862793293
roni_lag1,0.008200220496848081,0.0011965410657743846,1.7576123931472425,0.006428491121845227
amo_lag0,0.00677919404375476,0.003557738173429751,-1.2873839941672849,0.006416696812702382
tni_lag0,0.006143845645779239,0.0015148170967809779,-1.6143564036401283,0.006339952138541094
syn_slp_gradient_lag3,0.003553552186809548,0.003281302979431347,1.8054426210976156,0.006304709328410341
qbo_lag2,0.006922656835145383,0.0036323733714586914,-1.0285775615930481,0.006200487069507478
np_lag2,0.007456291664029701,0.005107299797093541,-1.2235423382883082,0.006165032616958363
pna_lag1,0.008565295065706505,0.007129679739754563,-0.6430318151213779,0.006141275642090465
np_x_pna_lag3,0.00663778234277451,0.003565619618272508,1.659097016448893,0.00611058306097194
pmm_lag3,0.007523575028347179,0.007979747674246772,0.9891522810711255,0.0059609284949314
buoy_pres_lag3,0.001730879123938352,0.0,-2.398099206951781,0.005927423417579438
buoy_wvht_lag2,0.002286543766857099,0.0005127191854917953,-0.44702717239614453,0.005904028266730958
qbo_lag3,0.007315208293080948,0.010051391522076424,-0.544627701637791,0.005780818017866609
buoy_pres_lag1,0.0012181387244115888,0.0011706018098199813,-1.209941293634085,0.005207134850406831
nino12_anom_lag2,0.008043933156235404,0.0033354075179586984,-0.7122733216087292,0.00511431489303779
pmm_lag2,0.005039034300241516,0.0031911200328475857,1.2541861573061919,0.005086250472247328
index7_40w_mjo_lag3,0.004384609172698715,0.0012894041757476912,0.7862850171648988,0.004976358824486222
tni_lag3,0.007881073989001725,0.006320871659884931,0.46394036121155957,0.004905438602753916
z500_nepac_anom_lag1,0.010972866759183969,0.0025946276810857745,-0.49256995985362595,0.004848100600512683
roni_lag2,0.007770612543941986,0.004945209139469304,-0.09672108287747937,0.004727237488312082
solar_lag1,0.006625969049399482,0.001675315485936119,-0.5773788970073844,0.00455549123648249
pdo_lag2,0.010367431346288612,0.0027616578990221114,-0.39992265637870145,0.004515828230822881
index5_160e_mjo_lag3,0.004090812939091101,0.0008592309327263281,0.9425995999792053,0.004010930041470219
index4_140e_mjo_lag3,0.0037612359846144524,0.0015457752048831043,0.9425995999792053,0.003961269387048986
solar_lag0,0.008121171470803547,0.0028776914035287845,-0.36925606954536694,0.00390640458172725
index6_120w_mjo_lag3,0.0035251788493832286,0.0009385933503349675,0.7862850171648971,0.003850932036639327
index6_120w_mjo_lag2,0.004423957420793357,0.003736978782120653,-0.34928775822512276,0.003841343224351841
qbo_lag1,0.005739046081553683,0.007200408288387558,0.2207247050175281,0.0038258188800680375
nino12_anom_lag3,0.008562930719374296,0.0017313316678298765,-0.49136757142204124,0.0037632108883634947
buoy_wvht_lag0,0.0014672180256377824,0.0020012253361925947,0.07252656803318996,0.0036327041645655483
index7_40w_mjo_lag1,0.0047021287559323496,0.004842918891644884,0.11861110290565048,0.0035249268822642875
nino12_anom_lag1,0.00853903843116582,0.0024977743013511093,-0.1100228988238838,0.0035060714618574177
amo_lag2,0.007379747261910519,0.0014398463512513974,-0.4814188426213887,0.0033810948012354377
buoy_pres_lag2,0.0005566953570445102,0.0001783097332636619,1.0309591382664138,0.003346995023850089
pdo_lag3,0.007969130887097579,0.002977996739718791,0.03121542619437152,0.0032907677700069623
index4_140e_mjo_lag0,0.003694275073858779,0.0009974663296012582,0.30361197426274616,0.003175688628736674
buoy_pres_lag0,0.0008358264438125682,0.0,0.9171965633720176,0.0031652756446682072
index6_120w_mjo_lag0,0.004512125989734039,0.0015120732047351434,-0.48094923023031294,0.0031509705648749865
index6_120w_mjo_lag1,0.005256935305157775,0.00024685475258542916,0.1186111029056487,0.0030918082218864217
index4_140e_mjo_lag1,0.0037987815524099596,0.004510816460420516,-0.21149820791806676,0.0030835468202010234
np_x_pna_lag2,0.00607663050945025,0.004357903626459896,-0.24819995812357917,0.0030740170080039613
index7_40w_mjo_lag2,0.0037234819005342095,0.0003414262824367631,-0.34928775822512187,0.002956633644627043
syn_slp_gradient_lag2,0.0019830196838042267,0.00032164166352283206,-0.4814233048519143,0.002955314951650772
syn_slp_gradient_lag1,0.0010654483958127986,6.498091309939956e-05,0.7430614176294614,0.0029465103693995993
ao_lag2,0.007858733967495292,0.002744867458470421,-0.010333324613731015,0.0028156598992115406
index5_160e_mjo_lag0,0.004867339510637286,0.0015950958345955029,0.30361197426274755,0.0028082679873799336
index7_40w_mjo_lag0,0.0035362963971398527,0.0018484338232961906,-0.48094923023031527,0.002745293858592133
index4_140e_mjo_lag2,0.004156778886291413,0.0019941298149105217,-0.2453918565226875,0.0026646094851005874
buoy_wspd_lag3,0.0023865068167455714,0.00013696140269721382,0.18093593894944382,0.0026493308703967877
buoy_wvht_lag1,0.0023010977238475828,0.00202104626761839,-0.6290806437972425,0.002559508753459529
index5_160e_mjo_lag2,0.0031287718385915944,0.001694823132350034,-0.2453918565226881,0.0022134633863895798
index5_160e_mjo_lag1,0.003414067192430336,8.080131287242488e-06,-0.21149820791806748,0.001646577387649452
